CONTRIBUTION ADDRESS,STABLES CONTRIBUTION,KSM PURCHASE PRICE,KSM EQUIVALENT,USD returned at KSM price $33.32 ,TokenSymbol
0x1bc3e2c44e0b2dabb1b06a1890273571825d3e03,388,364.6,1.064882795,35.482,USDC
0x1a60eb1065aea0d4b78ce2859b6977ac417d3aab,10,364.6,0.02742731761,0.914,USDC
0x248eec608eaba4a9552852d433d72354c7c797a9,"3,009.01",364.6,8.252895485,274.986,USDC
0x46ea2f0f383348d76ae5e64277f084ede90eea12,"1,200",364.6,3.291278113,109.665,USDC
0x849693d92facf44a5d729e5f894d5a3ebc51a4c8,"1,636.45",364.6,4.488353097,149.552,USDC
0xf4ca35df279677654515d41aca6bc75e79731a4b,"172,470.84",364.6,473.0412644,"15,761.735",USDC
0x9fa0a37f9d8f8b4cbbfdaf25c441167d19b2ed85,"18,225.46",364.6,49.98754152,"1,665.585",USDC
0x388b2d29e7919d45b1b8f6e88b8a13a392f97b40,"4,932.40",364.6,13.52825469,450.761,USDC
0x196eb61840ca3165a9940d6b078eea73480940a6,957.69,364.6,2.626689213,87.521,USDT
0x21e743cfeb7c1104c30254d575819a81cb0a8673,"3,000",364.6,8.228195283,274.163,USDC
0x9fa0a37f9d8f8b4cbbfdaf25c441167d19b2ed85,"11,775",364.6,32.29566648,"1,076.092",USDC
0xbbddd093d7c303eabedd9efc81d1c70f28dd17e8,"155,000",364.6,425.1234229,"14,165.112",USDC
0x01ffcc7285866e5cee14c8e807cb2e8d5f61079f,"5,000",358.87,13.93262184,464.235,DAI
0x9d3bea971d35027e5e1472a871f97e3b238f37a9,100,358.87,0.2786524368,9.285,DAI
0x5f2f6ce97c7e1cff7032ab46dd1c8b1dfa78dffe,"500,181.14",358.87,1393.766936,"46,440.314",USDC
0x8d520d016246f31fe7a676648f1fd5e55ec5562d,50.00,372.415,0.1342588242,4.474,USDC
0x8d520d016246f31fe7a676648f1fd5e55ec5562d,50.00,372.415,0.1342588242,4.474,DAI
0x8d520d016246f31fe7a676648f1fd5e55ec5562d,35,372.415,0.09398117691,3.131,USDT
0x1fd18bebcd1dde8be03429c31500a528cb9793ed,"55,000",372.415,147.6847066,"4,920.854",USDC
0x17d60e33385700247741d8a0c2db0d4ac28130d7,"1,000",372.415,2.685176483,89.470,USDC
0x4e4aa5af3212ee1374440c6f82797c462f90c8a3,957.273326,372.415,2.570447823,85.647,USDC
0x3f9594a4b4803e337a08e27195a1f4e1d70aadfe,500,372.415,1.342588242,44.735,USDT
0xa911ccf5f6c7bd5fb25188d41a536890c3c8fae5,"10,000",372.415,26.85176483,894.701,USDT
0x4a6b57491c6537abaad435ec4c48f7452817ac94,"1,000",372.415,2.685176483,89.470,USDC
0x78c3b4cec856668c57f6d3f08c90eb63a9a71380,210.00,372.415,0.5638870615,18.789,USDC
0x541d18545434932a5855535c1ea6b988bcd9dfc6,560.00,372.415,1.503698831,50.103,USDC
0x2e5745f3136e1023b7db402f2f20d59ece802f4a,49.93,372.415,0.1340799243,4.468,USDT
0x4c7af76438de653dcb7a0948208e48206cbfe7ce,"10,434.09",372.415,28.01738088,933.539,USDC
0x90e91f8e98d88fb6d2dac44c64d0c22af606c0a6,"2,200",372.415,5.907388263,196.834,USDC
