CONTRIBUTION ADDRESS,STABLES CONTRIBUTION,KSM EQUIVALENT,USD returned at KSM price $33.32 ,USD returned at KSM price $33.32 (INCL 2.1% FEE),TokenSymbol
0x2221ceace30dbae7e209888452d29e711cb5741d,"1,786.43",1.254150678,41.788,40.91074628,USDC
0x2cb644a9299f95f427a6a32b9b8f37b0d6720043,315.821518,2.974066143,99.096,97.01487033,USDC
0xf84cc4ed45f00c98e1739fd31f7533cafc249544,118,2.974066143,99.096,97.01487033,USDC
0x9349c8c39dd1d5a6271861ce6f9974b2b76142bc,10,2.886093267,96.165,94.14517047,USDC
0xeeff483b297016938400575043752a2d10d7579a,"1,500",89.2219843,"2,972.877",2910.44611,USDT
0x679b4172e1698579d562d1d8b4774968305b80b2,"1,095.17",0.2974066143,9.910,9.701487033,USDC
0x951b6d50d07c39b0f97a7bb2f5c1e96f07a093d3,"1,095",29.74066143,990.959,970.1487033,USDC
0x2221ceace30dbae7e209888452d29e711cb5741d,5,5.948132286,198.192,194.0297407,USDC
0x461e76a4fe9f27605d4097a646837c32f1ccc31c,"10,000",237.1331702,"7,901.277",7735.350409,USDC
0x11ea74a088d280c77147f78c54c05e372c8d1653,"5,000",0.3271472758,10.901,10.67163574,USDC
0xb27226ce5f123f91514ae3955e5cfeb7b9754981,"38,000",2.974066143,99.096,97.01487033,USDC
0xcf63e1c31805254b6fb3ed7829206c2b2505e3a7,"1,040",89.2219843,"2,972.877",2910.44611,USDC
0x98dc82470cd96449eff7a21837644e8a0b83f40e,"1,557.59",25.88077016,862.347,844.2379694,USDC
0x3fd1ddf28f604cfe5fefa3adc38e38be2f7208d6,"7,985",179.2251428,"5,971.782",5846.374341,USDC
0x428700e86c104f4ee8139a69ecdca09e843f6297,"2,000",5.948132286,198.192,194.0297407,USDC
0x55aea4cd456478d56f598e06a0db228192d5eb84,"1,000",2.974066143,99.096,97.01487033,USDC
0x07deef8ad7d095b45de4a2b39ca7d9f8aa7d4022,"5,936.70",0.02974008446,0.991,0.9701298824,USDC
0x5e7ec7c027092fdf2ce384dd217c37f434f78a57,"5,000",0.6046552068,20.147,19.72402215,DAI
0x289c23cd7cacafd4bfee6344ef376fa14f1bf42d,259.98,14.87033072,495.479,485.0743517,USDC
0x467ba5774af9b509af745a0870fcfabb34acfcc8,"4,962.34",0.5999284916,19.99,19.56983537,USDC
0x2549bb64f069a4c1f02e80a6707486b689f8faab,"3,904.26",0.6782785689,22.600,22.12563683,USDT
0x7ae02e3871f38d0ba4a5192d97621ba52083fd06,483.18,5.948132286,198.192,194.0297407,USDT
0xf3f49dd68586335ee3b01a86368043508c962c2a,"1,000",0.01968039198,0.656,0.641979897,USDC
0x453721d8f20513944a0edc7230ec2709552f7e17,"3,582.15",1.093464594,36.434,35.66912122,USDT
